Reviewer_ID,Reviewer_Type,Location,Date,Product_Name,Price_in_INR,Price_in_EURO,Rating,Review_Title,Review_Text
58244568,Certified Buyer,Rajkot,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Terrific,Best camera 📸📷 best performance... Mind blowing..Only 37 minit charg in 0 to 100%.. best display .. with super amoled.Best Street Photography.. Awesome camera 📷Portrait Mode is SUPER COOL.😍😍Best Realme Phone....Rate 5 of 4.9
50679559,Certified Buyer,Thane,"Sep, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Super!,"The camera quality is too good , just need to explore more. Battry backup good and charging is super fast. Performance is good. The zoom of camera is also great.Sound quality needs to be improved.Basically its value for money."
65985705,Certified Buyer,Mumbai,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Really Nice,"Lovely device 🥰I bought this phone Big Billion Day is the best offerJust got this phone today, fast delivery by flipkart, Performance is awesome.. camera is decent enough. give detailed review after some days of usage.. Vovoger grey suitcase colour is so vibrant and looks amazing.."
15356614,Certified Buyer,Faridabad,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Worth the money,Nice phone but camera quality is not good ... camera not Better than oneplus nord ..this range better camera for oneplus nord 2
49480563,Certified Buyer,Jangipur,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Value-for-money,"Camera quality - 3.5/5Battery backup & charging - 4/5Display - 5/5Power & Prossecing - 4/5My opinion - This device not for those persons who loves to click photos, it has a decent combo of camera which work properly and fulfil your basic needs. It's charging and battery performance is not only adequate but also splendid. Display of this device is mesmerized you and I am sure you fall in love at first sight of its display. Performance is great you will enjoy high graphics game in this devi..."
52761052,Certified Buyer,Bangalore Urban,"Dec, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,3,Fair,"Review after 45 days,Pros:1. Performance is good but price is quite high compare to other brand 2. Compact design and easy to operate with one hand3.camera is good, don't expect macro shot 4. Battery will get full charge in 30 minsCons:1. Battery is not at all good, it gives max 6-7 hrs on continue use2. Display is not that much great 3. Many features are missing like lock screen wall paper can't be changed , it is like once you set lockscreen wallpaper and then when you change hom..."
45372803,Certified Buyer,New Delhi,"Sep, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Wonderful,"In this price range, this is the best we can get. Ui is closed to stock android but needs to clear some bloat wares. Battery backup is good with moderate use and charging is super fast. Performance wise it is a good phone in mid range. Design is far superior than it is visible on the internet. Light weight and easy to hold structure makes it much better than other phones."
81079377,Certified Buyer,Kattappana,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Good quality product,"On time delivery by flipkart.😍Good phone  with. Good design and look.Good build quality ,and 120 Hz amoled display is good stunning display ,light weight and good feel in hand .778 processor is good and decent perfomance ,. Overall camera is good front cam is much better than rear cam .Still macro and wide angle lenses are waste .  Good battery performance and 65w charger is good .        Overall for this offer price it's good happy with  this product😍✖️❌✖️❌But many pre installed blo..."
12835828,Certified Buyer,Kolkata,"Aug, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Best in the market!,"Masterpiece. So smooth and fast. Lookwise brilliant. A worthy competitor to One Plus Nord 2. Overall very happy to zero-in on the decision to buy this. Let's see if it can keep up the pace with software updates etc. Flipkart's pay 70% now, 30% after one year is big help. Good business plan ☺️"
72776823,Certified Buyer,Bhilwara,"Jan, 2022","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Good choice,My review after 7 days usage:- camera is good and you never get camera like this in any other phoneSpeed:- 8 gb ram work as well : Display mind-blowing refresh Hertz very smooth And happy to display  parformance . battery🔋:- I charge in morning in fully and complete office work 12 hours complete and no charge required in working hours battery performance average good  sound-: sounds are clearly music and .Additional features very interested 30 minutes are phone was full charged 100% and mo...
94939800,Certified Buyer,Bhatni Bazar,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Great product,Best mobile realme I love it' Camera is best battery performance.very nice Super displa
15448830,Certified Buyer,New Delhi,"Aug, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Super!,Next Level Performance...Back Camera Is Excellent and Front Camera is also good but not too clear in night....Ram Expansion Works so nice... And i can feel super amoled Display ...You Should Buy this mobile ...Battery Charing is amazing....
61401513,Certified Buyer,Sambalpur,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Fabulous!,Don't buy the leather version it is not durable at all.other than that the phone is very good.the processor is adequate more importantly efficient.it can compete against 5000 mah and weight distribution is very well done.camera is good enough for casual users.the screen needs to be a tad cooler whites are yellowish even on max cool settings in display.Charging is insane.fastest charging in india.its the biggest highlight of the phone.brush your teeth and ur phn is ready guaranteed.Excellent...
53065938,Certified Buyer,Prayagraj,"Sep, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Terrific,Very very smoothly workingJust bought today.......this phone is working very smoothly coz of 120gz refresh rate and 360hz touch sampling rate...it works very well camera is also good specially I love display the processor Snapdragon 778 g mind blowing.. battery is also good & believe me it charges very quick minimum take 35 min to full charge...... awesome purchase🔥
76225660,Certified Buyer,Kannauj,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,3,Good,"I am posting review after 6 days.1)Front Camera is very bad it looks like 8 MP but they told that front Camera is 32 MP , I'm very disappointed😔😔 , i will give 3/5. They need to be improve with an update ASAP. Realme 5 Pro's Camera is better than it.2) Back Camera's Portrait mode is Excellent 😘😘i like it, i will give 5 out of 5 to only back Camera.3) Battery, 100% drain within 6 hrs, i think it will be fix with Update. I will give 4/5 ratting.4) Performance is Awesome 😍 i will give 5..."
75930393,Certified Buyer,Pune,"Sep, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,What else do you need in life ???  I am loving it !!!,"8GB RAM, 128 GB ROM65 Watt Super Dart Charger - Battery full in 30 Mins so no worries before going out, Battery gets full before you get ready. Loud enough Single speaker3.5 MM JackHandy and lightweight 120Hz Amoled screen64 MP Camera....with good image clarity and dynamic range. 32 MP selfie also does a good job.GT mode for gamingDelivered in 2 days, fast delivery service.What else do you need in life ??? I am loving it !!!"
94398870,Certified Buyer,Janjgir,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Super!,It's not camera phone but Camera is also decent  in  under 20k btw battery is also good and battery charging is very very fast gaming experience is also good support 60FPS In Smooth in BGMI all over experience is Very Good.. Go for it .🤙
76112080,Certified Buyer,Moothakunnam,"Oct, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,5,Classy product,"I duno why they say the battery is average of this phone . I think is so good. It doesn't feels like it's only 4.3k mah, it's more than that. Today is my 1 month of  using this phone . I'm pretty much happy with this device . I'm getting 8-9 hours of screen on time , if you use it hardcore , like gaming and stuff for continually you'll get approximately about 5-6 hours screen on time , it only requires 30 minutes to get fully charged bang ! Happy user 😊"
90967027,Certified Buyer,Kandi,"Dec, 2021","realme GT Master Edition (Luna White, 256 GB)",29999,335.99,4,Worth the money,"3 days experience.Pros :  1. Amazing performance.2. Mind blowing display.3. Good camera.(not excellent, but ok)4. Nice disign.5. Super gaming.6. Butter smooth experience. No lags.7. Super fast charging.8. Light weight.Cons :1.  low quality sound experience.2. Few unwanted aaps.3. I will update later if found."
